id_estacao,DICO,Concelho
520,3103,Funchal
521,3108,Santa Cruz
522,3103,Funchal
524,3201,Porto Santo
956,3106,Porto Moniz
960,3109,Santana
965,3109,Santana
967,3110,São Vicente
970,3105,Ponta do Sol
971,3103,Funchal
972,3103,Funchal
973,3103,Funchal
974,3109,Santana
975,3104,Machico
976,3103,Funchal
978,3104,Machico
980,3106,Porto Moniz
984,3102,Câmara de Lobos
986,3105,Ponta do Sol
987,3101,Calheta
1200521,3108,Santa Cruz
1200522,3103,Funchal
1200524,3201,Porto Santo
1210520,3103,Funchal
1210956,3106,Porto Moniz
1210960,3109,Santana
1210965,3109,Santana
1210967,3110,São Vicente
1210970,3105,Ponta do Sol
1210972,3103,Funchal
1210973,3103,Funchal
1210974,3109,Santana
1210975,3104,Machico
1210976,3103,Funchal
1210977,3103,Funchal
1210978,3104,Machico
1210980,3106,Porto Moniz
1210984,3102,Câmara de Lobos
1210986,3105,Ponta do Sol
1210987,3101,Calheta
1210990,3101,Calheta
1240971,3103,Funchal
