id_estacao,latitude,longitude,local_esta,fid,DICO,Concelho,Ilha,N_Freguesi,NUTSIII,NUTSII,NUTSI,Alt_Max,Alt_Min,Area_ha,Perim_km
"520",30.140595000000001,-15.869153000000001,Ilhas selvagens,10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"521",32.696880000000000,-16.776119999999999,Santa Catarina (Aeroporto),11,"3108",Santa Cruz,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1415,0,8131.029999999999745,106
"522",32.647860000000001,-16.888000000000002,Funchal,10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"524",33.074029000000003,-16.348680000000002,Porto Santo,1,"3201",Porto Santo,Ilha de Porto Santo (Madeira),1,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,517,0,4268.210000000000036,107
"956",32.867477000000001,-17.171372999999999,"Madeira, Porto Moniz",2,"3106",Porto Moniz,Ilha da Madeira (Madeira),4,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,8292.489999999999782,57
"960",32.834469439999999,-16.906219000000000,"Madeira, S. Jorge, Santana",5,"3109",Santana,Ilha da Madeira (Madeira),6,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,9547.069999999999709,56
"965",32.808238000000003,-16.886416600000000,"Madeira, Santana",5,"3109",Santana,Ilha da Madeira (Madeira),6,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,9547.069999999999709,56
"967",32.800183300000000,-17.044722000000000,"Madeira, São Vicente",4,"3110",São Vicente,Ilha da Madeira (Madeira),3,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1725,0,7883.899999999999636,41
"970",32.756469439999996,-17.057688800000001,"Madeira, Bica da Cana",8,"3105",Ponta do Sol,Ilha da Madeira (Madeira),3,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1620,0,4626.439999999999600,34
"971",32.636550000000000,-16.935592000000000,"Madeira, Funchal, Lido",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"972",32.693491000000002,-16.903955000000000,"Madeira, Pico Alto",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"973",32.716666670000002,-16.916666670000001,"Madeira, Areeiro",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"974",32.735106999999999,-16.928270999999999,"Madeira, Pico do Areeiro",5,"3109",Santana,Ilha da Madeira (Madeira),6,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,9547.069999999999709,56
"975",32.725897199999999,-16.816821999999998,"Madeira, Santo da Serra",6,"3104",Machico,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1480,0,6825.220000000000255,107
"976",32.675832999999997,-16.906943999999999,Monte (Madeira),10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"978",32.747000000000000,-16.706000000000000,"Madeira, S. Lourenço",6,"3104",Machico,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1480,0,6825.220000000000255,107
"980",32.831000000000003,-17.202000000000002,"Madeira, Lombo da Terça",2,"3106",Porto Moniz,Ilha da Madeira (Madeira),4,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,8292.489999999999782,57
"984",32.662972199999999,-17.015036110000000,"Madeira, Quinta Grande",7,"3102",Câmara de Lobos,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,5216.729999999999563,46
"986",32.681502000000002,-17.104167000000000,"Madeira, Ponta do Sol",8,"3105",Ponta do Sol,Ilha da Madeira (Madeira),3,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1620,0,4626.439999999999600,34
"987",32.757204999999999,-17.201550999999998,Prazeres (Calheta),3,"3101",Calheta,Ilha da Madeira (Madeira),8,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,11151.129999999999200,63
"1200521",32.696880000000000,-16.776119999999999,Santa Catarina (Aeródromo),11,"3108",Santa Cruz,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1415,0,8131.029999999999745,106
"1200522",32.647860000000001,-16.888000000000002,Funchal,10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"1200524",33.074029000000003,-16.348680000000002,Porto Santo,1,"3201",Porto Santo,Ilha de Porto Santo (Madeira),1,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,517,0,4268.210000000000036,107
"1210520",30.140595000000001,-15.869153000000001,Ilhas selvagens,10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"1210956",32.867477000000001,-17.171372999999999,"Madeira, Porto Moniz",2,"3106",Porto Moniz,Ilha da Madeira (Madeira),4,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,8292.489999999999782,57
"1210960",32.834469439999999,-16.906219000000000,"Madeira, S. Jorge, Santana",5,"3109",Santana,Ilha da Madeira (Madeira),6,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,9547.069999999999709,56
"1210965",32.808238000000003,-16.886416600000000,"Madeira, Santana",5,"3109",Santana,Ilha da Madeira (Madeira),6,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,9547.069999999999709,56
"1210967",32.800183300000000,-17.044722000000000,"Madeira, São Vicente",4,"3110",São Vicente,Ilha da Madeira (Madeira),3,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1725,0,7883.899999999999636,41
"1210970",32.756469439999996,-17.057688800000001,"Madeira, Bica da Cana",8,"3105",Ponta do Sol,Ilha da Madeira (Madeira),3,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1620,0,4626.439999999999600,34
"1210972",32.693491000000002,-16.903955000000000,"Madeira, Pico Alto",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"1210973",32.716666670000002,-16.916666670000001,"Madeira, Areeiro",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"1210974",32.735106999999999,-16.928270999999999,"Madeira, Pico do Areeiro",5,"3109",Santana,Ilha da Madeira (Madeira),6,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,9547.069999999999709,56
"1210975",32.725897199999999,-16.816821999999998,"Madeira, Santo da Serra",6,"3104",Machico,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1480,0,6825.220000000000255,107
"1210976",32.675832999999997,-16.906943999999999,"Madeira, Monte",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"1210977",32.645005560000001,-16.865749999999998,"Madeira, Cancela",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
"1210978",32.747000000000000,-16.706000000000000,"Madeira, S. Lourenço",6,"3104",Machico,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1480,0,6825.220000000000255,107
"1210980",32.831000000000003,-17.202000000000002,"Madeira, Lombo da Terça",2,"3106",Porto Moniz,Ilha da Madeira (Madeira),4,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,8292.489999999999782,57
"1210984",32.662972199999999,-17.015036110000000,"Madeira, Quinta Grande",7,"3102",Câmara de Lobos,Ilha da Madeira (Madeira),5,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1862,0,5216.729999999999563,46
"1210986",32.681502000000002,-17.104167000000000,"Madeira, Ponta do Sol",8,"3105",Ponta do Sol,Ilha da Madeira (Madeira),3,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1620,0,4626.439999999999600,34
"1210987",32.757204999999999,-17.201550999999998,Prazeres (Calheta),3,"3101",Calheta,Ilha da Madeira (Madeira),8,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,11151.129999999999200,63
"1210990",32.813841670000002,-17.263213889999999,"Madeira, Calheta",3,"3101",Calheta,Ilha da Madeira (Madeira),8,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1640,0,11151.129999999999200,63
"1240971",32.636550000000000,-16.935592000000000,"Madeira, Funchal, Lido",10,"3103",Funchal,Ilha da Madeira (Madeira),10,Região Autónoma da Madeira,Região Autónoma da Madeira,Região Autónoma da Madeira,1818,0,7622.189999999999600,84
