id_estacao,latitude,longitude,local_estacao
501,39.45819,-31.1301,Flores (Aeródromo)
502,39.67389,-31.11362,Corvo (Aeródromo)
504,38.55219,-28.44137,Pico (Aeródromo)
506,38.540781,-28.63225,Horta (Obs. Principe Alberto)
507,39.09036,-28.02852,Graciosa (Aeródromo)
510,38.66,-28.17,São Jorge
511,38.6659435,-27.216567,Angra do Heroísmo
512,37.74414,-25.6953048,P. Delgada (Aeroporto)
513,37.7464,-25.662283,P. Delgada (Obs. A. Chaves)
515,36.967175,-25.1679,Santa Maria (Aeroporto)
520,30.140595,-15.869153,Ilhas selvagens
521,32.69688,-16.77612,Santa Catarina (Aeroporto)
522,32.64786,-16.888,Funchal
524,33.074029,-16.34868,Porto Santo
531,39.38,-9.40737778,Cabo Carvoeiro
533,37.012835,-8.949089,Sagres
535,38.71907778,-9.14972222,Lisboa (Geofísico)
541,37.954504,-8.838271,Sines
545,41.233502,-8.681332,"Porto, P.Rubras"
546,41.1385194,-8.6025,"Porto, Serra do Pilar"
548,40.15006944,-8.46669167,Coimbra (Aeródromo)
551,41.648875,-8.804606,"Viana Castelo, Chafé"
554,37.016579,-7.971953,Faro (Aeroporto)
558,38.53336389,-7.88338056,Évora (Aeródromo)
560,40.71492222,-7.89592222,Viseu (Aeródromo)
562,38.02493056,-7.867275,Beja
566,41.30898056,-7.740522,Vila Real (Cidade)
567,41.27418611,-7.7171,Vila Real
568,40.41136667,-7.55865278,Penhas Douradas
570,39.83339444,-7.46678889,Castelo Branco
571,39.29546944,-7.41996944,Portalegre
575,41.80388889,-6.74283889,Bragança
577,37.54710833,-8.72899167,"Odemira, S.Teotónio"
579,38.76620278,-9.12749444,Lisboa (G.Coutinho)
604,41.96673056,-8.66676111,V.N.Cerveira (Aeródromo)
605,42.06669,-8.383347,"Monção, Valinha"
606,42.03333333,-8.18333333,"Lamas de Mouro, P.Ribeiro"
610,41.695,-8.82916,Viana do Castelo
611,41.82276667,-7.78797778,Montalegre
612,41.8434,-7.0034416,Vinhais
615,41.75013889,-8.56671389,Ponte de Lima
616,41.72516667,-7.46540833,Chaves (Aeródromo)
619,41.71666667,-8.01666667,Cabril
622,41.56678056,-8.45003056,"Braga, Merelim"
630,41.53333333,-7.96666667,Cabeceiras de Basto
632,41.51478611,-7.19083889,Mirandela
633,41.56666667,-6.78333333,"Macedo Cavaleiros, Bagueixe"
635,41.51666667,-6.28333333,Miranda do Douro
637,41.33333333,-6.73333333,Mogadouro
643,41.27365,-8.38012,Paços Ferreira
644,41.23333333,-7.28333333,Carrazêda de Ansiães
649,41.18445,-8.64445,"Porto, S. Gens"
654,41.18333333,-7.01666667,Moncorvo
655,41.172775,-7.5489722,"Pinhão, Santa Bárbara"
657,41.14585,-8.2490333,Luzim
663,40.98333333,-7.6,Moimenta da Beira
666,40.78333333,-7.36666667,"Trancoso, Bandarra"
669,40.93333333,-8.25,Arouca
671,40.75,-6.88333333,"F. Castelo Rodrigo, V.Torpim"
675,40.662738,-7.9039694,Viseu
683,40.53333333,-7.26666667,Guarda
685,40.51666667,-7.85,Nelas
686,40.145653,-7.92704,"Pampilhosa da Serra, Fajão"
687,40.264309,-7.482302,Covilhã (Aeródromo)
690,40.35425833,-7.38931111,Aldeia Souto (Q. Lageosa)
697,40.143922,-8.244066,Lousã (Aeródromo)
698,40.14063611,-7.55362778,Fundão
702,40.63529722,-8.65958333,Aveiro (Universidade)
704,40.445955,-8.76168055,Dunas de Mira
705,40.438852,-8.439996,Anadia
