month,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,1210705,103,Anadia,1.0,0.0,3.9,0.29
01,1210705,103,Anadia,2.0,0.0,6.8,0.74
01,1210705,103,Anadia,3.0,0.0,10.5,2.04
01,1210705,103,Anadia,4.0,0.0,3.9,1.47
01,1210705,103,Anadia,5.0,0.0,3.3,0.98
01,1210705,103,Anadia,6.0,0.0,2.6,0.74
01,1210705,103,Anadia,7.0,0.0,2.6,0.76
01,1210705,103,Anadia,8.0,0.0,3.4,1.02
01,1210669,104,Arouca,1.0,0.0,5.2,0.66
01,1210669,104,Arouca,2.0,0.0,4.9,0.45
01,1210669,104,Arouca,3.0,0.0,6.3,1.29
01,1210669,104,Arouca,4.0,0.0,4.9,0.9
01,1210669,104,Arouca,5.0,0.0,7.5,1.27
01,1210669,104,Arouca,6.0,0.0,6.0,1.13
01,1210669,104,Arouca,7.0,0.0,9.0,1.76
01,1210669,104,Arouca,8.0,0.0,7.2,1.16
01,1210702,105,Aveiro,1.0,0.3,12.1,3.75
01,1210702,105,Aveiro,2.0,0.3,8.0,2.07
01,1210702,105,Aveiro,3.0,0.3,7.2,2.78
01,1210702,105,Aveiro,4.0,0.2,4.8,1.7
01,1210702,105,Aveiro,5.0,0.1,7.5,2.39
01,1210702,105,Aveiro,6.0,0.3,12.8,3.82
01,1210702,105,Aveiro,7.0,0.3,13.3,5.15
01,1210702,105,Aveiro,8.0,0.2,13.1,3.77
01,6213615,111,Mealhada,1.0,0.1,5.0,1.71
01,6213615,111,Mealhada,2.0,0.2,5.8,2.2
01,6213615,111,Mealhada,3.0,0.2,8.6,2.04
01,6213615,111,Mealhada,4.0,0.2,3.6,1.09
01,6213615,111,Mealhada,5.0,0.1,7.8,2.07
01,6213615,111,Mealhada,6.0,0.2,6.0,1.94
01,6213615,111,Mealhada,7.0,0.3,6.7,2.13
01,6213615,111,Mealhada,8.0,0.2,6.4,1.85
01,562,205,Beja,1.0,0.4,8.4,2.9
01,1200562,205,Beja,2.0,0.0,11.0,3.1
01,562,205,Beja,3.0,0.0,6.0,2.18
01,1200562,205,Beja,4.0,0.3,6.7,2.65
01,1200562,205,Beja,5.0,0.3,7.3,3.84
01,1200562,205,Beja,6.0,0.2,9.9,4.17
01,1200562,205,Beja,7.0,0.0,13.7,4.83
01,1200562,205,Beja,8.0,0.1,9.5,3.53
01,1210864,206,Castro Verde,1.0,0.0,9.1,2.68
01,1210864,206,Castro Verde,2.0,0.0,10.4,2.63
01,1210864,206,Castro Verde,3.0,0.0,5.6,1.96
01,1210864,206,Castro Verde,4.0,0.0,5.4,1.83
01,1210864,206,Castro Verde,5.0,0.0,6.8,2.2
01,1210864,206,Castro Verde,6.0,0.0,6.8,1.43
01,1210864,206,Castro Verde,7.0,0.0,8.1,2.0
01,864,206,Castro Verde,8.0,0.0,10.4,3.25
01,1210863,209,Mértola,1.0,0.0,7.1,1.64
01,1210863,209,Mértola,2.0,0.0,4.8,0.99
01,1210863,209,Mértola,3.0,0.0,6.5,1.94
01,1210863,209,Mértola,4.0,0.0,6.0,1.91
01,1210863,209,Mértola,5.0,0.0,5.9,2.1
01,1210863,209,Mértola,6.0,0.0,6.3,2.61
01,1210863,209,Mértola,7.0,0.0,8.3,2.73
01,863,209,Mértola,8.0,0.0,8.0,2.29
01,1210851,210,Moura,1.0,0.0,7.7,1.76
01,1210851,210,Moura,2.0,0.0,8.0,1.49
01,1210851,210,Moura,3.0,0.0,5.7,1.77
01,1210851,210,Moura,4.0,0.0,5.2,1.74
01,851,210,Moura,5.0,0.0,7.6,2.53
01,1210851,210,Moura,6.0,0.0,8.9,2.97
01,1210851,210,Moura,7.0,0.0,9.2,2.76
01,1210851,210,Moura,8.0,0.0,9.3,2.83
01,788,211,Odemira,1.0,0.0,8.2,2.79
01,1210577,211,Odemira,2.0,0.0,10.1,2.27
01,1210577,211,Odemira,3.0,0.0,7.3,1.87
01,1210577,211,Odemira,4.0,0.0,6.6,1.55
01,1210577,211,Odemira,5.0,0.0,9.3,2.82
01,1210577,211,Odemira,6.0,0.0,9.8,3.59
01,1210577,211,Odemira,7.0,0.0,10.0,3.77
01,1210577,211,Odemira,8.0,0.0,10.6,3.12
01,6212122,301,Amares,1.0,0.2,7.1,1.58
01,6212122,301,Amares,2.0,0.3,6.1,1.46
01,6212122,301,Amares,3.0,0.2,4.2,1.22
01,6212122,301,Amares,4.0,0.2,4.5,1.33
01,6212122,301,Amares,5.0,0.1,5.4,1.63
01,6212122,301,Amares,6.0,0.2,4.5,1.46
01,6212122,301,Amares,7.0,0.2,5.7,1.42
01,6212122,301,Amares,8.0,0.2,6.9,1.57
01,6212125,302,Barcelos,1.0,0.2,3.5,1.27
01,6212125,302,Barcelos,2.0,0.1,3.6,1.27
01,6212125,302,Barcelos,3.0,0.1,4.3,1.01
01,6212125,302,Barcelos,4.0,0.1,6.3,0.83
01,6212125,302,Barcelos,5.0,0.2,8.7,2.27
01,6212125,302,Barcelos,6.0,0.2,7.2,2.19
01,6212125,302,Barcelos,7.0,0.2,6.8,2.51
01,6212125,302,Barcelos,8.0,0.2,8.7,1.94
01,6212124,303,Braga,1.0,0.0,7.9,2.09
01,6212124,303,Braga,2.0,0.0,9.1,1.59
01,1210622,303,Braga,3.0,0.0,6.5,1.41
