year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
2018,705,103,Anadia,1.0,0.0,1.2,0.18
2018,705,103,Anadia,2.0,0.1,1.5,0.47
2018,705,103,Anadia,3.0,0.2,5.5,2.26
2018,705,103,Anadia,4.0,0.3,4.3,1.6
2018,705,103,Anadia,5.0,0.3,3.4,1.14
2018,705,103,Anadia,6.0,0.3,1.1,0.54
2018,705,103,Anadia,7.0,0.2,1.0,0.54
2018,705,103,Anadia,8.0,0.1,0.9,0.36
2018,669,104,Arouca,1.0,0.0,0.7,0.24
2018,669,104,Arouca,2.0,0.1,4.7,0.45
2018,669,104,Arouca,3.0,0.4,3.6,1.93
2018,669,104,Arouca,4.0,0.4,4.0,1.9
2018,669,104,Arouca,5.0,0.3,3.9,1.88
2018,669,104,Arouca,6.0,0.4,1.4,0.95
2018,669,104,Arouca,7.0,0.2,3.0,1.08
2018,669,104,Arouca,8.0,0.1,2.5,0.61
2018,702,105,Aveiro,1.0,0.4,3.2,1.56
2018,702,105,Aveiro,2.0,0.5,2.2,1.25
2018,702,105,Aveiro,3.0,0.5,4.6,1.84
2018,702,105,Aveiro,4.0,0.5,5.0,1.83
2018,702,105,Aveiro,5.0,0.6,6.7,2.04
2018,702,105,Aveiro,6.0,0.6,5.3,1.95
2018,702,105,Aveiro,7.0,0.2,6.1,3.28
2018,702,105,Aveiro,8.0,0.4,4.9,2.42
2018,562,205,Beja,1.0,0.9,2.7,1.64
2018,562,205,Beja,2.0,1.1,5.8,2.62
2018,562,205,Beja,3.0,1.0,5.6,2.54
2018,562,205,Beja,4.0,1.0,4.4,2.55
2018,562,205,Beja,5.0,0.6,5.3,3.31
2018,562,205,Beja,6.0,0.5,4.1,1.64
2018,562,205,Beja,7.0,0.9,6.9,2.33
2018,562,205,Beja,8.0,0.2,6.6,2.65
2018,864,206,Castro Verde,1.0,0.0,3.5,0.92
2018,864,206,Castro Verde,2.0,0.1,4.2,1.46
2018,864,206,Castro Verde,3.0,0.3,5.0,1.92
2018,864,206,Castro Verde,4.0,0.6,3.1,1.85
2018,864,206,Castro Verde,5.0,1.3,3.4,2.1
2018,864,206,Castro Verde,6.0,0.4,4.3,1.7
2018,864,206,Castro Verde,7.0,0.3,1.9,0.69
2018,864,206,Castro Verde,8.0,0.1,4.7,1.28
2018,863,209,Mértola,1.0,0.0,2.6,0.7
2018,863,209,Mértola,2.0,0.1,2.5,0.65
2018,863,209,Mértola,3.0,0.3,5.8,1.7
2018,863,209,Mértola,4.0,0.5,4.2,1.72
2018,863,209,Mértola,5.0,0.9,3.3,1.48
2018,863,209,Mértola,6.0,0.5,0.5,0.5
2018,863,209,Mértola,7.0,0.3,3.1,1.17
2018,863,209,Mértola,8.0,0.1,3.8,1.21
2018,851,210,Moura,1.0,0.0,5.6,1.47
2018,851,210,Moura,2.0,0.1,5.5,1.33
2018,851,210,Moura,3.0,0.0,3.6,1.45
2018,851,210,Moura,4.0,0.0,4.8,1.63
2018,851,210,Moura,5.0,0.0,5.1,1.61
2018,851,210,Moura,6.0,0.6,4.4,1.83
2018,851,210,Moura,7.0,0.0,1.6,0.58
2018,851,210,Moura,8.0,0.0,4.1,1.53
2018,788,211,Odemira,1.0,0.4,4.4,1.55
2018,788,211,Odemira,2.0,0.3,3.3,1.37
2018,788,211,Odemira,3.0,0.3,3.5,1.46
2018,788,211,Odemira,4.0,0.4,4.3,1.61
2018,788,211,Odemira,5.0,0.5,5.7,1.86
2018,788,211,Odemira,6.0,0.3,4.2,2.43
2018,788,211,Odemira,7.0,0.4,4.4,1.69
2018,788,211,Odemira,8.0,0.4,3.4,1.47
2018,622,303,Braga,1.0,0.0,1.0,0.12
2018,622,303,Braga,2.0,0.0,0.2,0.09
2018,622,303,Braga,3.0,0.0,0.7,0.07
2018,622,303,Braga,4.0,0.0,4.1,0.31
2018,622,303,Braga,5.0,0.0,3.3,0.57
2018,622,303,Braga,6.0,0.0,2.6,0.51
2018,622,303,Braga,7.0,0.0,1.2,0.17
2018,622,303,Braga,8.0,0.0,1.0,0.08
2018,630,304,Cabeceiras de Basto,1.0,0.0,0.9,0.2
2018,630,304,Cabeceiras de Basto,2.0,0.0,2.3,0.7
